game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.278,0.285,0.262,0.252,0.217,0.236,0.243,0.227
0.261,0.231,0.26,0.255,0.228,0.263,0.251,0.251
0.266,0.23,0.265,0.247,0.223,0.258,0.246,0.265
0.223,0.24,0.258,0.262,0.248,0.254,0.271,0.244
0.257,0.241,0.22,0.249,0.262,0.25,0.261,0.26
0.263,0.252,0.255,0.26,0.249,0.236,0.233,0.252
0.248,0.252,0.269,0.247,0.247,0.235,0.236,0.266
0.265,0.246,0.254,0.24,0.226,0.251,0.255,0.263
0.237,0.272,0.265,0.238,0.238,0.261,0.26,0.229
0.24,0.258,0.248,0.244,0.259,0.252,0.253,0.246
0.247,0.272,0.248,0.211,0.266,0.265,0.239,0.252
0.255,0.249,0.257,0.252,0.223,0.257,0.265,0.242
0.246,0.258,0.244,0.254,0.25,0.229,0.26,0.259
0.249,0.253,0.251,0.225,0.243,0.26,0.257,0.262
0.264,0.267,0.242,0.257,0.251,0.25,0.243,0.226
0.242,0.247,0.259,0.243,0.256,0.273,0.243,0.237
0.237,0.251,0.271,0.245,0.272,0.273,0.22,0.231
0.256,0.267,0.242,0.241,0.242,0.268,0.26,0.224
0.245,0.267,0.252,0.246,0.236,0.241,0.267,0.246
0.258,0.235,0.245,0.256,0.242,0.248,0.255,0.261
0.271,0.256,0.245,0.257,0.246,0.247,0.238,0.24
0.25,0.253,0.257,0.233,0.224,0.28,0.269,0.234
0.265,0.254,0.255,0.256,0.213,0.245,0.267,0.245
0.243,0.245,0.258,0.257,0.245,0.263,0.254,0.235
0.252,0.263,0.245,0.238,0.266,0.263,0.237,0.236
0.258,0.252,0.24,0.242,0.244,0.256,0.258,0.25
0.246,0.244,0.235,0.238,0.252,0.256,0.267,0.262
0.265,0.264,0.257,0.275,0.267,0.237,0.211,0.224
0.258,0.235,0.227,0.24,0.26,0.254,0.255,0.271
0.25,0.246,0.262,0.26,0.239,0.256,0.249,0.238
0.265,0.231,0.242,0.249,0.229,0.262,0.264,0.258
0.231,0.236,0.27,0.238,0.25,0.26,0.249,0.266
0.249,0.252,0.243,0.268,0.242,0.233,0.266,0.247
0.283,0.227,0.257,0.253,0.226,0.276,0.234,0.244
0.235,0.265,0.237,0.245,0.262,0.272,0.266,0.218
0.26,0.265,0.248,0.261,0.245,0.236,0.247,0.238
0.211,0.243,0.289,0.246,0.263,0.262,0.237,0.249
0.269,0.253,0.278,0.245,0.212,0.26,0.241,0.242
0.249,0.249,0.262,0.264,0.248,0.268,0.241,0.219
0.234,0.26,0.239,0.259,0.262,0.232,0.265,0.249
0.239,0.229,0.244,0.242,0.265,0.274,0.252,0.255
0.25,0.255,0.26,0.246,0.232,0.251,0.258,0.248
0.253,0.256,0.268,0.248,0.235,0.234,0.244,0.262
0.256,0.231,0.251,0.224,0.253,0.265,0.24,0.28
0.261,0.242,0.254,0.253,0.253,0.267,0.232,0.238
0.253,0.244,0.235,0.247,0.255,0.254,0.257,0.255
0.247,0.265,0.247,0.241,0.25,0.241,0.256,0.253
0.257,0.24,0.262,0.251,0.263,0.248,0.218,0.261
0.251,0.247,0.27,0.236,0.248,0.256,0.231,0.261
0.236,0.25,0.23,0.256,0.263,0.264,0.271,0.23
0.233,0.228,0.224,0.261,0.271,0.256,0.272,0.255
0.255,0.252,0.238,0.249,0.252,0.244,0.255,0.255
0.254,0.242,0.246,0.26,0.253,0.253,0.247,0.245
0.27,0.247,0.242,0.259,0.24,0.244,0.248,0.25
0.238,0.255,0.255,0.244,0.255,0.253,0.252,0.248
0.253,0.271,0.236,0.24,0.25,0.258,0.261,0.231
0.236,0.238,0.25,0.245,0.25,0.256,0.264,0.261
0.243,0.257,0.23,0.246,0.281,0.24,0.246,0.257
0.237,0.253,0.244,0.25,0.274,0.257,0.245,0.24
0.268,0.27,0.241,0.247,0.234,0.244,0.257,0.239
0.259,0.262,0.244,0.248,0.234,0.228,0.263,0.262
0.222,0.239,0.259,0.261,0.272,0.271,0.247,0.229
0.26,0.249,0.245,0.254,0.239,0.249,0.256,0.248
0.228,0.255,0.233,0.25,0.273,0.276,0.266,0.219
0.253,0.259,0.264,0.255,0.254,0.252,0.229,0.234
0.243,0.249,0.23,0.242,0.257,0.241,0.27,0.268
