game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.265,0.24,0.237,0.273,0.242,0.25,0.256,0.237
0.252,0.238,0.248,0.236,0.234,0.28,0.266,0.246
0.27,0.246,0.259,0.259,0.231,0.235,0.24,0.26
0.264,0.247,0.261,0.262,0.242,0.256,0.233,0.235
0.25,0.254,0.262,0.237,0.246,0.259,0.242,0.25
0.3,0.234,0.238,0.248,0.234,0.253,0.228,0.265
0.265,0.28,0.253,0.256,0.261,0.231,0.221,0.233
0.255,0.258,0.261,0.244,0.242,0.241,0.242,0.257
0.247,0.266,0.251,0.234,0.256,0.245,0.246,0.255
0.225,0.246,0.256,0.246,0.264,0.249,0.255,0.259
0.281,0.265,0.235,0.239,0.24,0.24,0.244,0.256
0.283,0.257,0.248,0.244,0.225,0.237,0.244,0.262
0.26,0.276,0.231,0.236,0.27,0.234,0.239,0.254
0.254,0.251,0.236,0.255,0.27,0.25,0.24,0.244
0.273,0.264,0.249,0.25,0.232,0.245,0.246,0.241
0.271,0.247,0.259,0.249,0.231,0.275,0.239,0.229
0.281,0.235,0.248,0.294,0.228,0.247,0.243,0.224
0.283,0.242,0.251,0.248,0.232,0.237,0.234,0.273
0.259,0.252,0.24,0.272,0.245,0.245,0.256,0.231
0.263,0.234,0.258,0.245,0.229,0.285,0.25,0.236
0.27,0.266,0.263,0.238,0.24,0.233,0.227,0.263
0.252,0.239,0.263,0.245,0.253,0.238,0.232,0.278
0.276,0.26,0.247,0.261,0.254,0.21,0.223,0.269
0.27,0.251,0.266,0.254,0.236,0.27,0.228,0.225
0.265,0.235,0.241,0.258,0.248,0.261,0.246,0.246
0.277,0.23,0.218,0.263,0.263,0.26,0.242,0.247
0.284,0.276,0.233,0.23,0.244,0.258,0.239,0.236
0.282,0.273,0.241,0.234,0.232,0.25,0.245,0.243
0.282,0.225,0.244,0.251,0.26,0.268,0.214,0.256
0.281,0.235,0.269,0.254,0.21,0.246,0.24,0.265
0.295,0.236,0.229,0.264,0.257,0.25,0.219,0.25
0.272,0.268,0.253,0.231,0.226,0.267,0.249,0.234
0.254,0.231,0.271,0.26,0.242,0.253,0.233,0.256
0.273,0.253,0.247,0.235,0.235,0.24,0.245,0.272
0.256,0.25,0.241,0.265,0.257,0.242,0.246,0.243
0.28,0.269,0.246,0.243,0.219,0.217,0.255,0.271
0.289,0.244,0.258,0.236,0.229,0.267,0.224,0.253
0.268,0.26,0.235,0.253,0.245,0.245,0.252,0.242
0.282,0.236,0.248,0.247,0.244,0.25,0.226,0.267
0.275,0.271,0.243,0.255,0.229,0.242,0.253,0.232
0.281,0.239,0.247,0.249,0.247,0.286,0.225,0.226
0.269,0.226,0.265,0.284,0.236,0.248,0.23,0.242
0.269,0.232,0.258,0.235,0.243,0.256,0.23,0.277
0.278,0.254,0.249,0.234,0.244,0.24,0.229,0.272
0.268,0.258,0.26,0.27,0.249,0.245,0.223,0.227
0.302,0.251,0.257,0.219,0.22,0.273,0.221,0.257
0.248,0.249,0.234,0.229,0.255,0.244,0.263,0.278
0.251,0.254,0.273,0.238,0.225,0.247,0.251,0.261
0.258,0.235,0.274,0.247,0.244,0.252,0.224,0.266
0.261,0.256,0.228,0.256,0.248,0.262,0.263,0.226
0.26,0.229,0.247,0.245,0.265,0.283,0.228,0.243
0.277,0.22,0.234,0.251,0.226,0.266,0.263,0.263
0.288,0.245,0.233,0.253,0.243,0.254,0.236,0.248
0.249,0.247,0.219,0.24,0.277,0.278,0.255,0.235
0.258,0.267,0.254,0.236,0.267,0.258,0.221,0.239
0.274,0.267,0.249,0.227,0.252,0.268,0.225,0.238
0.285,0.256,0.274,0.224,0.249,0.254,0.192,0.266
0.275,0.247,0.262,0.261,0.223,0.235,0.24,0.257
0.27,0.275,0.24,0.241,0.253,0.248,0.237,0.236
0.28,0.261,0.249,0.25,0.234,0.245,0.237,0.244
0.254,0.25,0.261,0.246,0.228,0.256,0.257,0.248
0.271,0.249,0.237,0.241,0.237,0.253,0.255,0.257
0.272,0.233,0.239,0.259,0.252,0.246,0.237,0.262
0.234,0.259,0.287,0.24,0.215,0.259,0.264,0.242
0.268,0.245,0.232,0.272,0.254,0.233,0.246,0.25
0.263,0.279,0.252,0.206,0.221,0.237,0.264,0.278
0.298,0.254,0.228,0.252,0.228,0.251,0.246,0.243
0.278,0.248,0.249,0.258,0.255,0.276,0.218,0.218
0.256,0.223,0.266,0.249,0.239,0.277,0.239,0.251
0.24,0.271,0.253,0.229,0.245,0.248,0.262,0.252
0.268,0.253,0.248,0.25,0.242,0.235,0.242,0.262
0.265,0.24,0.259,0.247,0.251,0.257,0.225,0.256
0.272,0.269,0.246,0.229,0.238,0.237,0.244,0.265
0.267,0.239,0.254,0.256,0.237,0.257,0.242,0.248
0.274,0.264,0.256,0.24,0.23,0.253,0.24,0.243
0.285,0.261,0.253,0.268,0.226,0.205,0.236,0.266
0.273,0.269,0.257,0.228,0.234,0.242,0.236,0.261
0.26,0.228,0.243,0.256,0.219,0.255,0.278,0.261
0.259,0.237,0.273,0.239,0.242,0.257,0.226,0.267
0.276,0.266,0.247,0.246,0.225,0.245,0.252,0.243
0.296,0.238,0.235,0.254,0.218,0.249,0.251,0.259
0.271,0.236,0.245,0.251,0.238,0.26,0.246,0.253
0.284,0.262,0.235,0.251,0.233,0.248,0.248,0.239
0.275,0.232,0.233,0.249,0.26,0.238,0.232,0.281
0.294,0.265,0.24,0.24,0.22,0.247,0.246,0.248
0.251,0.245,0.258,0.237,0.243,0.242,0.248,0.276
0.251,0.238,0.285,0.27,0.218,0.256,0.246,0.236
0.286,0.253,0.264,0.247,0.223,0.253,0.227,0.247
0.296,0.246,0.242,0.23,0.243,0.281,0.219,0.243
0.298,0.271,0.25,0.219,0.214,0.26,0.238,0.25
0.263,0.235,0.231,0.276,0.242,0.25,0.264,0.239
0.261,0.24,0.26,0.256,0.255,0.239,0.224,0.265
0.268,0.239,0.259,0.227,0.227,0.275,0.246,0.259
0.258,0.253,0.248,0.262,0.235,0.236,0.259,0.249
0.287,0.26,0.238,0.241,0.229,0.235,0.246,0.264
0.277,0.271,0.252,0.259,0.237,0.232,0.234,0.238
0.242,0.261,0.264,0.256,0.235,0.247,0.259,0.236
0.262,0.25,0.26,0.271,0.23,0.219,0.248,0.26
0.266,0.231,0.27,0.26,0.218,0.233,0.246,0.276
0.279,0.233,0.254,0.249,0.232,0.26,0.235,0.258
0.251,0.249,0.257,0.274,0.239,0.226,0.253,0.251
0.256,0.279,0.225,0.243,0.27,0.234,0.249,0.244
0.269,0.269,0.26,0.223,0.236,0.242,0.235,0.266
0.275,0.253,0.244,0.248,0.24,0.261,0.241,0.238
0.278,0.255,0.252,0.231,0.222,0.234,0.248,0.28
0.265,0.244,0.232,0.26,0.262,0.236,0.241,0.26
0.264,0.263,0.254,0.238,0.242,0.227,0.24,0.272
0.277,0.254,0.242,0.248,0.269,0.263,0.212,0.235
0.242,0.265,0.261,0.242,0.278,0.249,0.219,0.244
0.273,0.254,0.266,0.233,0.232,0.249,0.229,0.264
0.262,0.266,0.262,0.253,0.235,0.23,0.241,0.251
0.255,0.24,0.275,0.266,0.23,0.236,0.24,0.258
0.266,0.239,0.253,0.262,0.22,0.257,0.261,0.242
0.289,0.252,0.267,0.241,0.217,0.264,0.227,0.243
0.243,0.231,0.252,0.262,0.256,0.231,0.249,0.276
0.266,0.255,0.268,0.244,0.249,0.254,0.217,0.247
0.278,0.257,0.25,0.256,0.227,0.249,0.245,0.238
0.284,0.25,0.241,0.258,0.241,0.242,0.234,0.25
0.255,0.241,0.272,0.26,0.241,0.258,0.232,0.241
0.246,0.261,0.267,0.223,0.257,0.28,0.23,0.236
0.272,0.254,0.24,0.232,0.241,0.262,0.247,0.252
0.24,0.266,0.258,0.253,0.248,0.257,0.254,0.224
0.261,0.301,0.26,0.215,0.234,0.248,0.245,0.236
0.244,0.253,0.264,0.242,0.251,0.253,0.241,0.252
0.27,0.259,0.272,0.26,0.227,0.223,0.231,0.258
0.281,0.249,0.237,0.236,0.253,0.256,0.229,0.259
0.25,0.226,0.273,0.254,0.259,0.247,0.218,0.273
0.264,0.28,0.261,0.24,0.256,0.224,0.219,0.256
0.264,0.264,0.247,0.271,0.245,0.242,0.244,0.223
0.247,0.247,0.247,0.267,0.247,0.225,0.259,0.261
0.261,0.257,0.243,0.231,0.25,0.26,0.246,0.252
0.255,0.271,0.236,0.257,0.262,0.232,0.247,0.24
0.263,0.238,0.249,0.238,0.247,0.251,0.241,0.273
0.254,0.251,0.262,0.249,0.236,0.241,0.248,0.259
0.269,0.242,0.251,0.261,0.236,0.258,0.244,0.239
0.26,0.274,0.255,0.268,0.203,0.234,0.282,0.224
0.272,0.265,0.269,0.248,0.194,0.24,0.265,0.247
0.275,0.229,0.242,0.259,0.252,0.258,0.231,0.254
0.24,0.249,0.257,0.238,0.27,0.261,0.233,0.252
0.245,0.252,0.25,0.239,0.272,0.25,0.233,0.259
0.239,0.246,0.268,0.23,0.266,0.273,0.227,0.251
0.233,0.261,0.253,0.239,0.261,0.242,0.253,0.258
0.261,0.227,0.251,0.258,0.235,0.283,0.253,0.232
0.261,0.244,0.263,0.268,0.23,0.225,0.246,0.263
0.257,0.254,0.25,0.258,0.26,0.252,0.233,0.236
0.27,0.247,0.261,0.235,0.218,0.271,0.251,0.247
0.274,0.238,0.269,0.248,0.241,0.244,0.216,0.27
0.256,0.247,0.241,0.259,0.255,0.253,0.248,0.241
0.252,0.245,0.241,0.274,0.288,0.241,0.219,0.24
0.257,0.253,0.24,0.268,0.251,0.254,0.252,0.225
0.275,0.269,0.276,0.239,0.224,0.239,0.225,0.253
0.305,0.237,0.239,0.246,0.227,0.24,0.229,0.277
0.284,0.251,0.226,0.259,0.257,0.236,0.233,0.254
0.277,0.252,0.259,0.243,0.227,0.24,0.237,0.265
0.246,0.248,0.248,0.246,0.234,0.254,0.272,0.252
0.275,0.246,0.221,0.245,0.25,0.259,0.254,0.25
0.273,0.255,0.246,0.256,0.243,0.24,0.238,0.249
0.265,0.251,0.258,0.222,0.221,0.263,0.256,0.264
0.252,0.247,0.247,0.238,0.253,0.26,0.248,0.255
0.256,0.242,0.267,0.241,0.24,0.261,0.237,0.256
0.262,0.215,0.248,0.238,0.251,0.266,0.239,0.281
0.251,0.243,0.263,0.254,0.255,0.266,0.231,0.237
0.26,0.243,0.257,0.252,0.239,0.238,0.244,0.267
0.293,0.257,0.222,0.233,0.258,0.271,0.227,0.239
0.263,0.237,0.279,0.276,0.244,0.229,0.214,0.258
0.27,0.251,0.23,0.245,0.258,0.243,0.242,0.261
0.248,0.26,0.26,0.251,0.268,0.236,0.224,0.253
0.234,0.26,0.253,0.263,0.254,0.255,0.259,0.222
0.298,0.227,0.216,0.253,0.245,0.277,0.241,0.243
0.278,0.254,0.261,0.26,0.241,0.235,0.22,0.251
0.25,0.228,0.236,0.277,0.249,0.259,0.265,0.236
0.262,0.255,0.258,0.253,0.25,0.245,0.23,0.247
0.254,0.247,0.242,0.257,0.238,0.252,0.266,0.244
0.27,0.258,0.253,0.241,0.225,0.254,0.252,0.247
0.28,0.269,0.255,0.266,0.231,0.218,0.234,0.247
0.263,0.261,0.254,0.231,0.233,0.263,0.25,0.245
0.273,0.235,0.254,0.258,0.238,0.243,0.235,0.264
0.272,0.25,0.243,0.249,0.251,0.24,0.234,0.261
0.252,0.235,0.264,0.252,0.237,0.266,0.247,0.247
0.271,0.253,0.24,0.252,0.249,0.244,0.24,0.251
0.258,0.26,0.279,0.249,0.237,0.264,0.226,0.227
0.276,0.249,0.24,0.248,0.247,0.245,0.237,0.258
0.263,0.254,0.24,0.224,0.256,0.273,0.241,0.249
0.238,0.259,0.262,0.255,0.281,0.248,0.219,0.238
0.259,0.257,0.249,0.243,0.247,0.254,0.245,0.246
0.272,0.277,0.242,0.257,0.25,0.222,0.236,0.244
0.255,0.242,0.239,0.255,0.268,0.253,0.238,0.25
0.266,0.253,0.272,0.26,0.223,0.237,0.239,0.25
0.288,0.259,0.248,0.256,0.234,0.247,0.23,0.238
0.264,0.277,0.239,0.237,0.249,0.245,0.248,0.241
0.226,0.264,0.268,0.259,0.256,0.239,0.25,0.238
0.277,0.25,0.269,0.261,0.232,0.238,0.222,0.251
0.287,0.241,0.246,0.251,0.241,0.243,0.226,0.265
0.267,0.246,0.259,0.227,0.24,0.258,0.234,0.269
0.244,0.267,0.237,0.257,0.258,0.234,0.261,0.242
0.248,0.232,0.257,0.255,0.253,0.267,0.242,0.246
0.291,0.249,0.227,0.249,0.223,0.253,0.259,0.249
0.272,0.262,0.243,0.231,0.237,0.264,0.248,0.243
0.253,0.254,0.241,0.241,0.252,0.271,0.254,0.234
0.288,0.232,0.243,0.258,0.231,0.273,0.238,0.237
0.235,0.239,0.259,0.279,0.27,0.236,0.236,0.246
0.257,0.236,0.254,0.269,0.226,0.261,0.263,0.234
0.282,0.252,0.25,0.276,0.238,0.228,0.23,0.244
0.286,0.259,0.255,0.263,0.248,0.222,0.211,0.256
0.275,0.262,0.236,0.247,0.249,0.246,0.24,0.245
0.266,0.249,0.26,0.24,0.234,0.27,0.24,0.241
0.277,0.255,0.257,0.235,0.243,0.258,0.223,0.252
0.253,0.232,0.248,0.248,0.249,0.258,0.25,0.262
0.285,0.252,0.256,0.265,0.237,0.248,0.222,0.235
0.238,0.255,0.25,0.241,0.252,0.26,0.26,0.244
0.259,0.264,0.278,0.264,0.224,0.244,0.239,0.228
0.254,0.269,0.239,0.257,0.247,0.221,0.26,0.253
0.247,0.249,0.234,0.242,0.248,0.252,0.271,0.257
0.273,0.233,0.244,0.235,0.239,0.266,0.244,0.266
0.268,0.249,0.237,0.264,0.263,0.244,0.232,0.243
0.253,0.25,0.238,0.242,0.245,0.248,0.264,0.26
0.279,0.271,0.239,0.253,0.238,0.226,0.244,0.25
0.262,0.267,0.26,0.252,0.233,0.231,0.245,0.25
0.262,0.219,0.252,0.227,0.251,0.281,0.235,0.273
0.259,0.234,0.245,0.242,0.246,0.262,0.25,0.262
0.273,0.261,0.249,0.262,0.242,0.251,0.236,0.226
0.257,0.246,0.249,0.279,0.23,0.227,0.264,0.248
0.288,0.25,0.239,0.263,0.241,0.228,0.232,0.259
0.24,0.221,0.235,0.266,0.273,0.294,0.252,0.219
0.265,0.252,0.232,0.259,0.246,0.242,0.257,0.247
0.27,0.256,0.249,0.264,0.258,0.241,0.223,0.239
0.26,0.227,0.236,0.244,0.242,0.268,0.262,0.261
0.262,0.238,0.267,0.251,0.226,0.244,0.245,0.267
0.279,0.236,0.244,0.278,0.263,0.249,0.214,0.237
0.262,0.249,0.237,0.27,0.258,0.26,0.243,0.221
0.282,0.268,0.242,0.244,0.23,0.246,0.246,0.242
0.278,0.265,0.254,0.247,0.245,0.239,0.223,0.249
0.248,0.222,0.254,0.261,0.25,0.253,0.248,0.264
0.26,0.261,0.233,0.25,0.246,0.243,0.261,0.246
0.273,0.262,0.206,0.263,0.258,0.222,0.263,0.253
0.262,0.234,0.279,0.246,0.223,0.258,0.236,0.262
0.246,0.273,0.245,0.226,0.254,0.247,0.255,0.254
0.272,0.246,0.258,0.239,0.223,0.252,0.247,0.263
0.245,0.26,0.276,0.248,0.252,0.237,0.227,0.255
0.267,0.254,0.235,0.229,0.251,0.261,0.247,0.256
0.255,0.223,0.251,0.237,0.243,0.256,0.251,0.284
0.263,0.259,0.269,0.251,0.242,0.246,0.226,0.244
0.273,0.251,0.229,0.257,0.258,0.263,0.24,0.229
0.272,0.287,0.238,0.239,0.242,0.246,0.248,0.228
0.244,0.246,0.254,0.241,0.239,0.253,0.263,0.26
0.274,0.247,0.244,0.24,0.254,0.255,0.228,0.258
0.271,0.268,0.266,0.246,0.244,0.245,0.219,0.241
0.279,0.254,0.258,0.25,0.234,0.274,0.229,0.222
0.283,0.274,0.264,0.251,0.239,0.252,0.214,0.223
0.269,0.266,0.256,0.257,0.237,0.23,0.238,0.247
0.272,0.263,0.224,0.246,0.265,0.237,0.239,0.254
0.27,0.248,0.261,0.24,0.239,0.261,0.23,0.251
0.253,0.248,0.251,0.236,0.232,0.258,0.264,0.258
0.254,0.25,0.254,0.242,0.244,0.265,0.248,0.243
0.269,0.251,0.245,0.243,0.243,0.248,0.243,0.258
0.273,0.251,0.258,0.236,0.219,0.253,0.25,0.26
0.268,0.249,0.255,0.249,0.218,0.262,0.259,0.24
0.294,0.222,0.22,0.26,0.236,0.257,0.25,0.261
0.281,0.249,0.25,0.251,0.241,0.237,0.228,0.263
0.279,0.237,0.237,0.267,0.224,0.227,0.26,0.269
0.266,0.255,0.245,0.244,0.272,0.224,0.217,0.277
0.3,0.257,0.247,0.238,0.224,0.252,0.229,0.253
0.255,0.247,0.243,0.235,0.261,0.237,0.241,0.281
0.251,0.26,0.241,0.243,0.263,0.251,0.245,0.246
0.284,0.259,0.219,0.236,0.261,0.247,0.236,0.258
0.269,0.242,0.252,0.255,0.26,0.255,0.219,0.248
0.283,0.256,0.255,0.235,0.227,0.27,0.235,0.239
0.267,0.252,0.241,0.26,0.248,0.231,0.244,0.257
0.284,0.245,0.24,0.28,0.23,0.23,0.246,0.245
0.268,0.249,0.248,0.223,0.225,0.272,0.259,0.256
0.265,0.252,0.245,0.255,0.255,0.254,0.235,0.239
0.279,0.237,0.226,0.254,0.239,0.26,0.256,0.249
0.281,0.258,0.246,0.258,0.236,0.255,0.237,0.229
0.255,0.262,0.248,0.26,0.259,0.221,0.238,0.257
0.257,0.266,0.25,0.236,0.252,0.277,0.241,0.221
0.256,0.243,0.264,0.252,0.249,0.241,0.231,0.264
0.263,0.266,0.271,0.232,0.239,0.261,0.227,0.241
0.279,0.256,0.226,0.258,0.23,0.242,0.265,0.244
0.27,0.244,0.251,0.235,0.233,0.281,0.246,0.24
0.271,0.236,0.239,0.261,0.255,0.255,0.235,0.248
0.263,0.271,0.242,0.248,0.252,0.227,0.243,0.254
0.258,0.266,0.266,0.251,0.252,0.231,0.224,0.252
0.269,0.251,0.254,0.244,0.254,0.244,0.223,0.261
0.279,0.253,0.239,0.249,0.254,0.239,0.228,0.259
0.306,0.252,0.229,0.237,0.246,0.262,0.219,0.249
0.263,0.25,0.251,0.217,0.247,0.264,0.239,0.269
0.28,0.229,0.242,0.267,0.248,0.238,0.23,0.266
0.284,0.233,0.251,0.298,0.235,0.244,0.23,0.225
0.275,0.237,0.231,0.263,0.253,0.255,0.241,0.245
0.251,0.245,0.271,0.239,0.235,0.255,0.243,0.261
0.273,0.232,0.262,0.246,0.215,0.259,0.25,0.263
0.269,0.252,0.25,0.25,0.24,0.251,0.241,0.247
0.286,0.255,0.223,0.279,0.235,0.23,0.256,0.236
0.263,0.234,0.24,0.257,0.252,0.235,0.245,0.274
0.265,0.265,0.254,0.239,0.241,0.256,0.24,0.24
0.287,0.234,0.237,0.273,0.249,0.26,0.227,0.233
0.266,0.246,0.221,0.243,0.25,0.263,0.263,0.248
0.259,0.253,0.27,0.257,0.255,0.231,0.216,0.259
0.277,0.252,0.235,0.274,0.236,0.248,0.252,0.226
0.249,0.223,0.248,0.254,0.263,0.251,0.24,0.272
0.28,0.268,0.231,0.205,0.237,0.254,0.252,0.273
0.285,0.263,0.245,0.224,0.253,0.245,0.217,0.268
0.262,0.25,0.246,0.236,0.261,0.257,0.231,0.257
0.238,0.258,0.263,0.24,0.245,0.27,0.254,0.232
0.259,0.256,0.245,0.246,0.24,0.244,0.256,0.254
0.28,0.269,0.249,0.241,0.25,0.258,0.221,0.232
0.276,0.242,0.247,0.255,0.265,0.266,0.212,0.237
0.267,0.232,0.239,0.253,0.235,0.245,0.259,0.27
0.261,0.289,0.266,0.235,0.246,0.239,0.227,0.237
0.299,0.241,0.239,0.244,0.25,0.256,0.212,0.259
0.274,0.277,0.235,0.259,0.245,0.238,0.246,0.226
0.25,0.258,0.282,0.227,0.253,0.285,0.215,0.23
0.254,0.257,0.266,0.235,0.274,0.263,0.206,0.245
0.26,0.273,0.243,0.216,0.249,0.264,0.248,0.247
0.26,0.239,0.257,0.26,0.25,0.268,0.233,0.233
0.29,0.264,0.222,0.254,0.236,0.252,0.252,0.23
0.248,0.242,0.267,0.269,0.216,0.263,0.269,0.226
0.284,0.264,0.241,0.253,0.234,0.239,0.241,0.244
0.276,0.249,0.254,0.261,0.244,0.265,0.226,0.225
0.266,0.262,0.228,0.24,0.24,0.253,0.266,0.245
0.275,0.261,0.247,0.265,0.261,0.231,0.217,0.243
0.267,0.248,0.254,0.286,0.229,0.222,0.25,0.244
0.268,0.239,0.272,0.261,0.233,0.228,0.227,0.272
0.292,0.245,0.243,0.256,0.224,0.244,0.241,0.255
0.275,0.28,0.264,0.264,0.224,0.223,0.237,0.233
0.286,0.248,0.226,0.241,0.233,0.241,0.255,0.27
0.249,0.268,0.249,0.245,0.242,0.241,0.26,0.246
0.276,0.256,0.247,0.264,0.263,0.238,0.214,0.242
0.277,0.253,0.246,0.221,0.251,0.258,0.226,0.268
0.253,0.242,0.245,0.249,0.236,0.253,0.266,0.256
0.262,0.243,0.245,0.243,0.229,0.272,0.264,0.242
0.283,0.261,0.226,0.259,0.231,0.24,0.26,0.24
0.28,0.257,0.253,0.268,0.247,0.242,0.22,0.233
0.25,0.259,0.246,0.247,0.271,0.242,0.233,0.252
0.266,0.23,0.262,0.245,0.216,0.271,0.256,0.254
0.288,0.238,0.235,0.257,0.235,0.276,0.242,0.229
0.271,0.262,0.245,0.239,0.248,0.262,0.236,0.237
0.275,0.229,0.243,0.246,0.252,0.262,0.23,0.263
0.246,0.247,0.251,0.26,0.257,0.237,0.246,0.256
0.271,0.25,0.257,0.241,0.237,0.26,0.235,0.249
0.268,0.267,0.248,0.241,0.265,0.25,0.219,0.242
0.238,0.242,0.278,0.249,0.269,0.255,0.215,0.254
0.268,0.248,0.249,0.256,0.231,0.258,0.252,0.238
0.261,0.271,0.257,0.237,0.23,0.271,0.252,0.221
0.3,0.265,0.233,0.241,0.239,0.244,0.228,0.25
0.241,0.26,0.289,0.238,0.223,0.256,0.247,0.246
0.269,0.245,0.251,0.247,0.231,0.254,0.249,0.254
0.258,0.245,0.257,0.267,0.26,0.248,0.225,0.24
0.261,0.235,0.249,0.27,0.247,0.241,0.243,0.254
0.258,0.268,0.262,0.234,0.236,0.241,0.244,0.257
0.282,0.224,0.229,0.244,0.233,0.275,0.256,0.257
0.261,0.219,0.239,0.256,0.272,0.284,0.228,0.241
0.245,0.259,0.243,0.278,0.287,0.223,0.225,0.24
0.246,0.268,0.258,0.257,0.261,0.236,0.235,0.239
0.249,0.267,0.257,0.245,0.263,0.246,0.231,0.242
0.26,0.268,0.245,0.235,0.261,0.247,0.234,0.25
0.269,0.246,0.253,0.264,0.24,0.261,0.238,0.229
0.275,0.236,0.245,0.266,0.24,0.238,0.24,0.26
0.261,0.25,0.276,0.255,0.234,0.244,0.229,0.251
0.25,0.241,0.246,0.279,0.251,0.244,0.253,0.236
0.281,0.26,0.243,0.266,0.244,0.253,0.232,0.221
0.259,0.254,0.267,0.255,0.231,0.263,0.243,0.228
0.257,0.244,0.263,0.257,0.244,0.259,0.236,0.24
0.268,0.265,0.25,0.25,0.254,0.248,0.228,0.237
0.242,0.251,0.258,0.238,0.261,0.253,0.239,0.258
0.251,0.285,0.239,0.249,0.252,0.224,0.258,0.242
0.255,0.258,0.249,0.241,0.255,0.244,0.241,0.257
0.276,0.23,0.233,0.243,0.227,0.258,0.264,0.269
0.282,0.28,0.234,0.249,0.255,0.22,0.229,0.251
0.268,0.266,0.266,0.243,0.234,0.254,0.232,0.237
0.297,0.256,0.239,0.253,0.219,0.243,0.245,0.248
0.258,0.245,0.238,0.245,0.251,0.248,0.253,0.262
0.284,0.247,0.236,0.265,0.248,0.232,0.232,0.256
0.256,0.237,0.229,0.239,0.255,0.256,0.26,0.268
0.29,0.274,0.232,0.231,0.226,0.235,0.252,0.26
0.25,0.246,0.237,0.25,0.257,0.268,0.256,0.236
0.266,0.259,0.261,0.242,0.258,0.251,0.215,0.248
0.255,0.249,0.269,0.249,0.233,0.245,0.243,0.257
0.259,0.244,0.277,0.252,0.24,0.254,0.224,0.25
0.257,0.27,0.27,0.235,0.232,0.234,0.241,0.261
0.269,0.259,0.25,0.237,0.233,0.25,0.248,0.254
0.274,0.23,0.233,0.263,0.254,0.259,0.239,0.248
0.254,0.248,0.246,0.27,0.249,0.239,0.251,0.243
0.268,0.251,0.239,0.252,0.249,0.234,0.244,0.263
0.235,0.257,0.269,0.238,0.263,0.234,0.233,0.271
0.273,0.25,0.245,0.253,0.235,0.266,0.247,0.231
0.283,0.259,0.242,0.251,0.241,0.262,0.234,0.228
0.281,0.242,0.242,0.254,0.241,0.244,0.236,0.26
0.242,0.273,0.263,0.227,0.248,0.255,0.247,0.245
0.279,0.254,0.24,0.263,0.228,0.227,0.253,0.256
0.277,0.253,0.236,0.238,0.26,0.258,0.227,0.251
0.243,0.238,0.253,0.267,0.261,0.226,0.243,0.269
0.245,0.227,0.25,0.256,0.248,0.267,0.257,0.25
0.249,0.242,0.262,0.256,0.262,0.232,0.227,0.27
0.266,0.271,0.263,0.266,0.234,0.238,0.237,0.225
0.284,0.263,0.239,0.249,0.249,0.241,0.228,0.247
0.273,0.267,0.269,0.25,0.224,0.241,0.234,0.242
0.251,0.257,0.243,0.23,0.246,0.247,0.26,0.266
0.276,0.211,0.246,0.265,0.243,0.265,0.235,0.259
0.26,0.258,0.263,0.247,0.217,0.241,0.26,0.254
0.258,0.237,0.231,0.237,0.273,0.26,0.238,0.266
0.251,0.276,0.261,0.238,0.246,0.247,0.242,0.239
0.256,0.215,0.231,0.252,0.27,0.254,0.243,0.279
0.273,0.252,0.218,0.249,0.253,0.247,0.256,0.252
0.281,0.259,0.255,0.235,0.232,0.26,0.232,0.246
0.269,0.264,0.255,0.242,0.254,0.252,0.222,0.242
0.268,0.258,0.265,0.261,0.232,0.253,0.235,0.228
0.277,0.248,0.248,0.258,0.251,0.243,0.224,0.251
0.272,0.245,0.245,0.256,0.236,0.246,0.247,0.253
0.271,0.239,0.227,0.271,0.258,0.248,0.244,0.242
0.273,0.253,0.208,0.25,0.264,0.256,0.255,0.241
0.303,0.248,0.25,0.254,0.214,0.232,0.233,0.266
0.237,0.257,0.259,0.236,0.246,0.247,0.258,0.26
0.268,0.251,0.25,0.255,0.25,0.24,0.232,0.254
0.233,0.254,0.285,0.25,0.237,0.258,0.245,0.238
0.26,0.244,0.271,0.257,0.253,0.264,0.216,0.235
0.263,0.279,0.258,0.26,0.257,0.234,0.222,0.227
0.259,0.235,0.251,0.27,0.227,0.25,0.263,0.245
0.282,0.271,0.258,0.233,0.233,0.241,0.227,0.255
0.27,0.239,0.253,0.26,0.251,0.257,0.226,0.244
0.264,0.236,0.241,0.258,0.258,0.242,0.237,0.264
0.294,0.252,0.254,0.243,0.222,0.277,0.23,0.228
0.256,0.271,0.265,0.243,0.227,0.24,0.252,0.246
0.252,0.267,0.238,0.233,0.261,0.243,0.249,0.257
0.267,0.27,0.248,0.254,0.237,0.242,0.248,0.234
0.25,0.244,0.254,0.278,0.251,0.239,0.245,0.239
0.264,0.265,0.245,0.258,0.24,0.23,0.251,0.247
0.274,0.255,0.23,0.258,0.24,0.255,0.256,0.232
0.28,0.263,0.234,0.267,0.261,0.244,0.225,0.226
0.26,0.26,0.242,0.232,0.241,0.242,0.257,0.266
0.288,0.241,0.24,0.266,0.239,0.24,0.233,0.253
0.268,0.26,0.253,0.259,0.241,0.22,0.238,0.261
0.267,0.255,0.26,0.237,0.232,0.243,0.241,0.265
0.278,0.24,0.262,0.239,0.225,0.259,0.235,0.262
0.279,0.26,0.258,0.235,0.237,0.268,0.226,0.237
