game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.259,0.234,0.247,0.283,0.268,0.237,0.226,0.246
0.25,0.247,0.263,0.241,0.242,0.253,0.245,0.259
0.245,0.268,0.259,0.259,0.264,0.236,0.232,0.237
0.298,0.251,0.241,0.26,0.228,0.224,0.233,0.265
0.268,0.271,0.236,0.269,0.265,0.229,0.231,0.231
0.273,0.24,0.249,0.25,0.237,0.251,0.241,0.259
0.283,0.235,0.255,0.236,0.217,0.266,0.245,0.263
0.275,0.255,0.26,0.247,0.251,0.249,0.214,0.249
0.269,0.246,0.249,0.245,0.248,0.235,0.234,0.274
0.243,0.247,0.263,0.261,0.251,0.236,0.243,0.256
0.271,0.25,0.249,0.275,0.249,0.239,0.231,0.236
0.266,0.266,0.248,0.25,0.232,0.241,0.254,0.243
0.265,0.262,0.242,0.283,0.243,0.222,0.25,0.233
0.246,0.237,0.249,0.262,0.254,0.236,0.251,0.265
0.288,0.243,0.249,0.238,0.239,0.263,0.224,0.256
0.273,0.242,0.25,0.248,0.243,0.271,0.234,0.239
0.244,0.257,0.27,0.243,0.256,0.257,0.23,0.243
0.277,0.246,0.243,0.262,0.234,0.231,0.246,0.261
0.264,0.25,0.259,0.255,0.222,0.259,0.255,0.236
0.245,0.259,0.255,0.247,0.275,0.231,0.225,0.263
0.275,0.245,0.248,0.266,0.237,0.245,0.24,0.244
0.252,0.223,0.247,0.268,0.262,0.236,0.239,0.273
0.265,0.24,0.257,0.253,0.237,0.254,0.241,0.253
0.269,0.229,0.244,0.245,0.25,0.248,0.237,0.278
0.269,0.251,0.265,0.243,0.242,0.244,0.224,0.262
0.265,0.259,0.252,0.229,0.252,0.263,0.231,0.249
0.264,0.235,0.251,0.257,0.265,0.242,0.22,0.266
0.28,0.241,0.218,0.246,0.259,0.26,0.243,0.253
0.264,0.248,0.22,0.241,0.239,0.276,0.277,0.235
0.275,0.233,0.256,0.25,0.227,0.254,0.242,0.263
0.246,0.233,0.246,0.25,0.253,0.267,0.255,0.25
0.251,0.269,0.283,0.232,0.224,0.243,0.242,0.256
0.279,0.252,0.245,0.256,0.241,0.228,0.235,0.264
0.262,0.24,0.247,0.266,0.227,0.224,0.264,0.27
0.291,0.267,0.239,0.244,0.22,0.24,0.25,0.249
0.253,0.255,0.242,0.243,0.246,0.246,0.259,0.256
0.257,0.263,0.27,0.236,0.231,0.256,0.242,0.245
0.254,0.257,0.253,0.249,0.24,0.247,0.253,0.247
0.276,0.241,0.249,0.251,0.223,0.258,0.252,0.25
0.247,0.255,0.248,0.254,0.255,0.233,0.25,0.258
0.257,0.253,0.237,0.232,0.235,0.265,0.271,0.25
0.256,0.247,0.261,0.241,0.228,0.264,0.255,0.248
0.263,0.248,0.266,0.26,0.237,0.246,0.234,0.246
0.275,0.229,0.266,0.258,0.232,0.261,0.227,0.252
0.258,0.253,0.263,0.259,0.259,0.23,0.22,0.258
0.271,0.26,0.241,0.258,0.254,0.227,0.234,0.255
0.277,0.25,0.251,0.263,0.249,0.253,0.223,0.234
0.263,0.224,0.245,0.237,0.255,0.255,0.237,0.284
0.274,0.257,0.269,0.249,0.234,0.26,0.223,0.234
0.278,0.275,0.236,0.251,0.252,0.247,0.234,0.227
0.279,0.252,0.264,0.252,0.226,0.26,0.231,0.236
0.307,0.24,0.234,0.257,0.233,0.257,0.226,0.246
0.265,0.241,0.25,0.25,0.245,0.255,0.24,0.254
0.278,0.255,0.247,0.236,0.236,0.234,0.239,0.275
0.26,0.254,0.273,0.247,0.233,0.242,0.234,0.257
0.263,0.27,0.263,0.223,0.195,0.234,0.279,0.273
0.259,0.266,0.26,0.233,0.238,0.253,0.243,0.248
0.286,0.248,0.237,0.26,0.227,0.234,0.25,0.258
0.262,0.264,0.255,0.267,0.222,0.254,0.261,0.215
0.281,0.232,0.25,0.274,0.231,0.25,0.238,0.244
0.279,0.257,0.227,0.255,0.228,0.244,0.266,0.244
0.258,0.237,0.264,0.26,0.251,0.251,0.227,0.252
0.273,0.225,0.261,0.259,0.221,0.246,0.245,0.27
0.247,0.238,0.24,0.257,0.275,0.257,0.238,0.248
0.269,0.249,0.258,0.246,0.246,0.247,0.227,0.258
0.243,0.226,0.258,0.235,0.253,0.284,0.246,0.255
0.273,0.226,0.253,0.244,0.261,0.255,0.213,0.275
0.275,0.276,0.27,0.242,0.225,0.258,0.23,0.224
0.284,0.256,0.239,0.247,0.259,0.239,0.218,0.258
