replicate_id,winner,plus4s_0,plus4s_1,plus4s_2,plus4s_3
263,3,0,0,0,0
264,3,1,1,0,0
265,3,0,0,1,0
266,1,0,0,1,0
267,1,0,0,0,1
268,2,1,0,1,0
269,3,0,1,0,0
270,2,0,0,0,0
271,2,0,0,1,0
272,1,0,1,0,0
273,0,1,0,1,1
274,1,0,0,2,2
275,0,0,0,0,1
276,3,0,0,0,1
277,1,0,0,0,0
278,2,0,0,0,0
279,2,0,1,0,1
280,3,2,0,0,0
281,1,2,1,0,0
282,1,1,0,0,0
283,0,1,0,0,0
284,2,0,0,0,0
285,0,2,0,0,0
286,1,0,0,0,0
287,1,0,1,0,1
288,0,0,1,0,0
289,0,0,1,0,0
290,3,0,1,1,0
291,0,1,1,0,0
292,2,0,0,0,0
293,2,0,0,0,0
294,0,1,0,0,0
295,2,1,0,0,1
296,1,0,0,0,0
297,0,0,1,0,0
298,1,0,0,0,0
299,1,1,0,0,0
300,2,1,0,0,0
301,0,0,0,1,0
302,2,0,1,0,0
303,0,0,0,1,0
304,1,0,0,1,1
305,1,0,1,0,0
306,3,0,0,0,1
307,2,1,0,1,0
308,0,1,0,0,0
309,2,0,0,0,1
310,0,0,0,0,0
311,0,0,1,0,0
312,3,1,0,0,0
313,2,0,1,2,0
314,3,1,0,1,1
315,3,0,0,0,1
316,1,0,0,0,0
317,3,0,1,0,0
318,0,0,1,1,0
319,1,0,0,0,0
320,3,0,1,0,0
321,0,0,0,0,0
322,0,0,1,0,0
323,1,1,1,0,0
324,0,0,0,0,0
325,1,1,1,0,0
326,1,0,0,1,0
327,1,0,0,0,0
328,3,0,0,0,1
329,3,1,0,0,0
330,0,1,0,0,0
331,2,0,1,1,1
332,3,0,3,0,0
333,2,1,1,1,0
334,0,0,0,1,0
335,1,0,0,0,0
336,2,0,0,0,0
337,1,1,0,0,0
338,2,0,0,2,0
339,1,0,2,1,0
340,2,0,1,1,0
341,2,0,0,2,0
342,1,0,0,0,2
343,3,0,0,0,2
344,0,1,0,0,0
345,1,1,0,0,0
346,3,0,0,0,2
347,0,0,0,1,0
348,1,0,0,0,2
349,1,1,2,0,0
350,0,0,0,0,0
351,3,0,0,0,2
352,0,0,0,1,0
353,2,0,0,0,2
354,3,1,1,0,0
355,2,0,1,0,0
356,0,0,0,0,1
357,2,0,0,0,1
358,1,0,0,0,2
359,3,1,0,0,1
360,0,0,1,0,0
361,0,0,0,0,0
362,1,0,0,1,0
363,3,1,0,0,1
364,1,1,0,0,0
365,1,0,1,0,0
366,0,0,1,1,0
367,2,0,0,0,0
368,3,1,0,1,0
369,2,1,1,0,1
370,3,0,0,0,0
371,1,0,0,0,0
372,1,0,0,0,0
373,2,0,0,0,0
374,0,0,1,2,0
375,0,1,1,0,0
376,1,0,0,0,0
377,2,1,0,0,2
378,2,0,0,1,0
379,0,0,0,0,0
380,0,1,0,0,0
381,0,1,2,0,0
382,3,0,0,0,0
383,0,0,0,0,0
384,0,1,0,0,0
385,3,0,0,1,1
386,2,0,0,0,0
387,0,0,0,0,0
388,3,0,0,0,0
389,3,0,0,0,0
390,2,2,0,1,0
391,0,0,0,1,1
392,2,0,0,0,0
393,3,0,0,0,1
394,0,0,0,0,0
395,2,1,0,0,0
396,2,0,0,0,0
397,1,0,1,0,0
398,1,1,0,0,1
399,3,0,1,2,0
400,1,1,1,0,0
401,0,0,0,1,0
402,3,0,0,0,0
403,0,1,0,0,0
404,0,0,1,0,0
405,0,1,0,1,0
406,3,0,0,0,0
407,2,0,1,0,0
408,0,1,0,0,0
409,1,1,0,1,0
410,3,0,0,1,1
411,0,0,0,0,1
412,2,0,0,0,0
413,2,0,0,0,0
414,1,1,0,1,0
415,1,1,0,0,0
416,3,0,0,1,1
417,0,1,1,1,0
418,1,0,0,0,0
419,1,0,0,0,1
420,1,0,1,1,0
421,2,0,0,0,0
422,1,0,1,0,0
423,2,0,0,1,1
424,3,1,0,0,1
425,0,2,0,0,0
426,0,0,0,0,0
427,2,1,0,1,0
428,3,0,1,0,0
429,0,1,0,1,1
430,3,1,0,1,1
431,1,1,0,1,1
432,2,1,0,0,0
433,3,0,0,0,1
434,2,0,0,0,1
435,3,0,0,0,0
436,1,0,0,0,0
437,2,0,0,0,0
438,2,0,0,1,0
439,0,0,1,0,0
440,0,1,1,0,0
441,0,0,0,1,0
442,0,1,0,1,1
443,2,0,0,0,0
444,3,1,0,0,0
445,0,0,0,0,0
446,0,1,0,0,1
447,3,0,0,1,1
448,0,1,0,1,0
449,2,0,2,0,0
450,0,0,1,0,0
451,2,0,0,2,1
452,1,0,1,0,0
453,3,1,1,0,1
454,2,0,1,0,0
455,1,0,1,2,0
456,3,0,1,0,0
457,3,0,0,0,0
458,0,1,0,0,0
459,1,0,1,0,0
460,3,1,0,0,1
461,1,0,1,0,1
462,2,0,0,1,0
463,2,1,0,0,2
464,1,0,0,0,1
465,0,1,1,0,0
466,2,0,0,1,0
467,1,0,0,2,0
468,3,0,0,0,0
469,0,1,1,0,0
470,0,1,1,0,0
471,0,1,1,0,0
472,1,2,1,0,0
473,1,0,0,0,0
474,0,0,1,0,0
475,0,0,0,1,0
476,3,0,0,0,0
477,1,0,3,0,0
478,0,1,1,0,0
479,1,0,0,1,1
480,3,0,0,0,1
481,2,1,0,0,0
482,1,0,3,0,0
483,1,0,1,0,1
484,1,0,1,0,0
485,2,0,0,1,1
486,3,0,0,0,0
487,3,0,1,0,1
488,0,1,0,0,0
489,0,1,0,1,0
490,1,1,1,1,1
491,0,0,1,0,0
492,2,0,1,1,0
493,3,2,0,1,0
494,2,0,0,0,1
495,3,1,2,0,0
496,3,0,0,0,0
497,0,1,0,1,1
498,1,0,0,1,1
499,1,1,0,0,0
500,0,0,0,1,0
501,2,0,0,1,0
502,1,0,1,0,0
503,1,0,1,0,0
504,2,0,0,0,0
505,3,0,1,0,0
506,0,1,1,0,0
507,2,0,0,1,0
508,3,0,0,0,0
509,2,0,1,1,1
510,1,2,0,0,0
511,2,0,0,0,0
512,2,0,1,1,0
513,2,0,0,2,0
514,0,0,0,2,0
515,3,0,0,0,1
516,2,1,1,0,1
517,1,0,1,2,0
518,1,0,0,0,0
519,3,0,1,0,3
520,1,0,0,0,0
521,0,0,0,1,1
522,0,2,0,1,0
523,3,1,1,1,0
524,0,1,1,0,0
525,1,0,1,0,0
526,0,0,0,0,0
527,1,0,0,0,0
528,0,0,0,0,0
529,3,0,1,0,0
530,2,0,1,1,0
531,2,0,0,2,0
532,1,0,0,1,0
533,3,0,1,0,2
534,0,1,0,0,0
535,1,0,2,1,0
536,1,1,0,0,0
537,1,1,0,0,0
538,3,0,0,0,0
539,1,0,0,0,0
540,2,0,0,0,1
541,1,0,0,0,0
542,1,0,1,0,0
543,3,0,0,1,0
544,1,2,0,0,0
545,3,1,2,0,0
546,1,0,1,0,1
547,1,1,2,0,0
548,0,0,0,0,0
549,3,0,1,0,1
550,3,0,1,0,0
551,2,1,1,0,0
552,2,0,1,0,0
553,3,0,1,1,0
554,2,1,0,1,1
555,1,0,2,1,0
556,1,0,0,0,0
557,3,0,0,1,0
558,1,0,0,0,0
559,3,0,0,0,0
560,2,1,0,0,0
561,3,0,0,0,2
562,1,0,0,0,1
563,0,0,0,0,1
564,0,1,0,0,0
565,3,1,0,0,1
566,2,1,0,0,0
567,1,0,0,1,1
568,0,1,0,0,2
569,0,0,0,2,1
570,3,0,0,0,0
571,3,0,1,0,0
572,0,0,0,1,0
573,0,1,0,1,0
574,0,1,0,1,0
575,2,0,0,0,0
576,1,0,1,0,0
577,0,0,0,1,0
578,0,0,0,0,0
579,2,0,0,1,0
580,1,0,1,0,0
581,3,1,0,0,0
582,3,0,0,0,1
583,3,0,0,0,2
584,1,0,1,0,0
585,1,1,0,0,2
586,0,0,1,0,0
587,2,1,1,0,0
588,1,0,2,0,0
589,2,0,0,0,0
590,0,0,1,0,0
591,0,1,1,0,0
592,0,0,0,1,1
593,1,1,1,0,1
594,0,0,0,1,0
